指标名称,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
资金流量表:金融交易:来源:证券:债券:金融债券:国内合计,,,,,,,,,,,,,,,,,,,,,,11472.91197,11804,,,41412,45349.96815
资金流量表:金融交易:来源:证券:债券:中央银行债券:合计,,,,,,,,,,,,,,,,,,,,-19818,-7850,-7918,-1240,50,-4201,9,6.771342
资金流量表:金融交易:来源:证券:债券:中央银行债券:金融机构部门,,,,,,,,,,,,,,,,,,,,-19818,-7850,-7918,-1240,50,-4222,,
资金流量表:金融交易:来源:证券:债券:中央银行债券:国内合计,,,,,,,,,,,,,,,,,,,,,,-7918,19171,,,,6.771342
资金流量表:金融交易:来源:证券:债券:企业债券:合计,,,,,,,,,,,,,,,,,,,,13658,22532,18111,24329,29340,37310,3260,19908.40415
资金流量表:金融交易:来源:证券:债券:企业债券:非金融企业部门,,,,,,,,,,,,,,,,,,,,13658,22532,18111,24329,29340,36337,2607,18298.12646
资金流量表:金融交易:来源:证券:债券:企业债券:国内合计,,,,,,,,,,,,,,,,,,,,,,18111,-1240,,,2607,18298.12646
资金流量表:金融交易:来源:证券:股票:合计,,,,,,,,,,,,,,,,,,,,5345,4862,4969,10303,11927,17127,14581,10626.42956
资金流量表:金融交易:来源:证券:股票:非金融企业部门,,,,,,,,,,,,,,,,,,,,5738,2129,4229,8971,7757,13414,9922,6758.145988
资金流量表:金融交易:来源:证券:股票:金融机构部门,,,,,,,,,,,,,,,,,,,,-322,2861,584,1246,1695,1153,2114,2696.188145
资金流量表:金融交易:来源:证券:股票:国内合计,,,,,,,,,,,,,,,,,,,,,,4813.342411,24329,,,12036,9454.334132
资金流量表:金融交易:来源:证券:股票:国外部门,,,,,,,,,,,,,,,,,,,,-71,-128,156.11,85,2474.93,6125.56,2545,1172.095427
