指标名称,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
资金流量表:实物交易:来源:经常转移:住户部门,1319.42,1705.71,2138.12,2734.79,3334.98,4338.89,4691.79,4543.09,3950.88,4674.24,5783.83,7069.97,8671.95,9961.94,11910.41,14654.49,18900.87,22214.48,27044,33307.54,37959.68,44180.27,49171.6,55779.75,61326.73,67471.52,70610.03673
资金流量表:实物交易:来源:经常转移:国内合计,3223.53,3800.73,4525.1,5354.13,6632.41,8305.75,8784.33,9166.25,9489.59,12139.11,14700.52,17722.82,21828.62,26335.69,32331.86,41307.75,52483.32,58975.01,71478.29,90014.26,102831,117827.7,131205.9,147600.1,160753.3,181474.6,193434.2559
资金流量表:实物交易:来源:经常转移:国外部门,2.81,6.8,37.32,32.72,19.96,27.6,31.62,35.08,45.5,52.35,67.13,85.55,118.21,316.99,279.84,421.55,653.53,750.54,598.12,2006.07,3012.85,3832.07,2437.05,3030.17,2686.78,2705.98,1966.37755
资金流量表:实物交易:来源:经常转移:收入税:合计,1047.01,917.05,842.01,870.88,1205.7,1291.96,1377.41,1961.85,2118.86,3363,3542.89,4195.88,5408.84,6949.27,8814.85,11964.83,14897.94,15486.18,17680.81,22823.75,25818.16,29030.36,32362.83,36025.32,39004.54,,
资金流量表:实物交易:来源:经常转移:收入税:政府部门,1047.01,917.05,842.01,870.88,1205.7,1291.96,1377.41,1961.85,2118.86,3363,3542.89,4195.88,5408.84,6949.27,8814.85,11964.83,14897.94,15486.18,17680.81,22823.75,25818.16,29030.36,32362.83,36025.32,39004.54,,
资金流量表:实物交易:来源:经常转移:收入税:国内合计,1047.01,917.05,842.01,870.88,1205.7,1291.96,1377.41,1961.85,2118.86,3363,3542.89,4195.88,5408.84,6949.27,8814.85,11964.83,14897.94,15486.18,17680.81,22823.75,25818.16,29030.36,32362.83,36025.32,39004.54,44128.66,
资金流量表:实物交易:来源:经常转移:社会保险缴款:合计,687.71,981.1,1382.36,1829.11,2262.1,2765.16,3137.34,4040,2644.9,3101.9,4048.7,4882.9,5780.3,6975.2,8643.2,10812.3,13696.1,16115.6,20584.5,,31411.03,35993.58,40438.81,46354.08,50112.47,58437.57,61347.75
资金流量表:实物交易:来源:经常转移:社会保险缴款:政府部门,365.8,508.22,716.61,970.74,1207,1453.4,1562.63,2052,2644.9,3101.9,4048.7,4882.9,5780.3,6975.2,8643.2,10812.3,13696.1,16115.6,20584.5,27217.58,31411.03,35993.58,40438.81,46354.08,50112.47,58437.57,61347.75
资金流量表:实物交易:来源:经常转移:社会保险缴款:国内合计,687.71,981.1,1382.36,1829.11,2262.1,2765.16,3137.34,4040,2644.9,3101.9,4048.7,4882.9,5780.3,6975.2,8643.2,10812.3,13696.1,16115.6,20584.5,27217.58,31411.03,35993.58,40438.81,46354.08,50112.47,58437.57,61347.75
资金流量表:实物交易:来源:经常转移:社会保险福利:合计,,,,,,,,,2385.6,2748,3471.5,4016.4,4627.4,5400.8,6477.4,7887.9,9925.1,12302.6,16207.24,,23930.7,28743.93,33680.57,39117.66,43604.85,48652.99,49586.7
资金流量表:实物交易:来源:经常转移:社会保险福利:住户部门,,,,,,,,,2385.6,2748,3471.5,4016.4,4627.4,5400.8,6477.4,7887.9,9925.1,12302.6,16207.24,20363.89,23930.7,28743.93,33680.57,39117.66,43604.85,48652.99,49586.7
资金流量表:实物交易:来源:经常转移:社会保险福利:国内合计,,,,,,,,,2385.6,2748,3471.5,4016.4,4627.4,5400.8,6477.4,7887.9,9925.1,12302.6,16207.24,20363.89,23930.7,28743.93,33680.57,39117.66,43604.85,48652.99,49586.7
资金流量表:实物交易:来源:经常转移:社会补助:合计,449.6,443.5,503.6,640,671.72,792.89,974.38,257.77,980.56,1160.6,1164.77,1519.85,2020.72,2241.91,2807.75,3364.6,5156.88,6246.03,6137.51,7588.85,8708.28,10090.96,10672.21,11687.57,12564.69,13490.52,15311.23213
资金流量表:实物交易:来源:经常转移:社会补助:住户部门,449.6,443.5,503.6,640,671.72,792.89,974.38,257.77,980.56,1160.6,1164.77,1519.85,2020.72,2241.91,2807.75,3364.6,5156.88,6246.03,6137.51,7588.85,8708.28,10090.96,10672.21,11687.57,12564.69,13490.52,15311.23213
资金流量表:实物交易:来源:经常转移:社会补助:国内合计,449.6,443.5,503.6,640,671.72,792.89,974.38,257.77,980.56,1160.6,1164.77,1519.85,2020.72,2241.91,2807.75,3364.6,5156.88,6246.03,6137.51,7588.85,8708.28,10090.96,10672.21,11687.57,12564.69,13490.52,15311.23213
资金流量表:实物交易:来源:经常转移:其他:合计,1042.02,1465.88,1834.45,2046.86,2512.85,3483.34,3326.82,2941.71,1405.16,1817.95,2539.78,3193.34,4109.57,5085.5,5868.49,7699.67,9460.83,9575.13,11466.34,14026.27,15975.7,17800.9,16488.57,17445.67,18153.52,19470.82,19927.10486
资金流量表:实物交易:来源:经常转移:其他:非金融企业部门,89.72,114.97,197.39,193.61,214.01,321.8,282.1,275.18,279.2,311.37,390.34,466.02,563.86,632.4,687.99,835.25,1350.97,969.42,949.73,1069.76,1161.58,1287.2,1233.19,1254.14,1587.03,1337.631,1991.085158
资金流量表:实物交易:来源:经常转移:其他:金融机构部门,144.35,259.37,252.79,256.33,318.07,350.7,326.2,317.52,144.29,276.02,446.64,568.47,761.79,885.66,1089.94,1352.94,1506.32,2270.03,2957.68,3311.12,3703.27,4274.87,4665.58,4847.75,5439.57,6278.579,6039.691106
资金流量表:实物交易:来源:经常转移:其他:政府部门,257.23,295.41,378.18,327.78,352.65,549,544.2,16.61,351.45,412.58,488.11,539.58,641.89,931.23,1185.47,1687.93,2131.12,1919.29,2261.57,2284.5,2777.29,3061.38,3333.93,3339.09,3282.95,3820.62,8465.589865
资金流量表:实物交易:来源:经常转移:其他:住户部门,547.91,789.33,968.77,1236.42,1608.16,2234.24,2142.7,2297.32,584.72,765.64,1147.55,1533.72,2023.83,2319.23,2625.25,3401.99,3818.9,3665.85,4699.24,5354.81,5320.7,5345.39,4818.82,4974.52,5157.19,5328.013,5712.104599
资金流量表:实物交易:来源:经常转移:其他:国内合计,1039.21,1459.08,1797.13,2014.14,2492.89,3455.74,3295.2,2906.63,1359.66,1765.61,2472.65,3107.79,3991.36,4768.52,5588.65,7278.12,8807.31,8824.59,10868.22,12020.19,12962.85,13968.83,14051.52,14415.5,15466.74,16764.84,17960.72731
资金流量表:实物交易:来源:经常转移:其他:国外部门,2.81,6.8,37.32,32.72,19.96,27.6,31.62,35.08,45.5,52.35,67.13,85.55,118.21,316.99,279.84,421.55,653.53,750.54,598.12,2006.07,3012.85,3832.07,2437.05,3030.17,2686.78,2705.98,1966.37755
资金流量表:实物交易:来源:可支配总收入:合计,26715.53,34628.01,46785.35,57614.64,67028.35,73568.02,77321.79,80988.46,98523,108771.1,120170.4,136421.3,161348.8,185572.4,218141.8,269243.2,319027.5,342482.5,402513.7,470145.4,518431.6,582656.9,644879.3,685655.9,739961.9,819295.9,914193.7611
资金流量表:实物交易:来源:可支配总收入:非金融企业部门,3287.5,5194.95,7069.78,9187.96,8494.31,10280.86,10605.09,11136.99,17152.68,19327.19,21313.62,24339.09,33246.66,36987.87,42687.11,54207.96,65450.94,64171.08,72069.17,78990.47,78875.93,100204.4,116262.3,113178.2,118441.7,138998.7,173908.567
资金流量表:实物交易:来源:可支配总收入:金融机构部门,272.84,398.53,425.72,430.88,598.31,287.74,472.27,450.75,517.59,1254.42,1927.53,2866.89,3075.63,3100.65,4303.44,5284.53,7106.18,8405.7,13206.55,15179.18,16855.35,14963.2,15932.81,22662.29,29616.9,34637.93,25718.68691
